RAE | Blueprint | Pin Data,,,,,,,,,,,,,
Duncan Rae | 1 July 2024,,,,,,,,,,,,,
id,icon,name,prefix,visibility,latitude,longitude,image_url,link_url,tags,description,internal_reference,internal_description,date_created
1,Finished Design,Fisher Ave,Street Redesign,PUB,45.3698047,-75.71553724,https://dunrae.com/wp-content/uploads/2024/07/fisher-003.png,,,,,,
2,WIP Design,King Edward Ave,Street Redesign,PUB,45.428973,-75.68595732,https://dunrae.com/wp-content/uploads/2024/07/kinged001.png,,OT67,,,,
3,Sketch,Hurdman Village,Urban Development,PUB,45.41041744,-75.66782116,,,,,,,
4,Sketch,Little Stockholm,Urban Development,PUB,45.3498297,-75.78582019,,,,,College Ward pg 4,,29 Apr 2022
5,Reference,"Grade Separated 
Turbo Roundabout",Infrastructure Design,PUB,51.72720704,5.34611805,,,,,,,
6,Reference,"Merwede, Utrecht, NL",Urban Development,PUB,52.07191571,5.108370632,https://merwede.nl/wp-content/uploads/2023/07/LOLA-LMU-20230607-merwede-overzicht-birdseye-1536x864.jpg,https://merwede.nl/,,,,,
7,Reference,"Jericho Lands, BC",Urban Development,PUB,49.26705779,-123.1954449,https://www.clc-sic.ca/sites/default/files/styles/1_scale_large/public/images/Jericho%202%20Transit%20Plaza%202023%2010%2023.jpg?itok=-dw0oYoX,https://www.clc-sic.ca/real-estate/jericho-lands,,,,,
8,Reference,Agora in Le Plateau,Urban Development,PUB,45.43446475,-75.79960822,https://dunrae.com/wp-content/uploads/2024/07/agora001.jpeg,https://beyondtheautomobile.com/2023/06/05/is-this-the-suburbs-first-impressions-of-gatineaus-agora-development/,,,,,
9,Sketch,Westboro Village,Urban Development,PUB,45.39152489,-75.75510932,,,,,World Design pg 72-74,"Westboro Ped. Infill 
(Danforth, Madison, 
Richmond)",1 Feb 2023
10,WIP Design,Danforth Ave,Urban Development,PUB,45.39094619,-75.75452647,https://dunrae.com/wp-content/uploads/2024/07/danforth001.png,,,,Renders (Drive),,
11,Finished Design,"Wellington St. &
Parliamentary Precinct","Urban Development &
Infrastructure Design",PUB-ish,45.42332235,-75.69834701,https://dunrae.com/wp-content/uploads/2024/07/wellington-083.png,,,,"World Design pg 118-122
Wellington Notebook
Renders (Drive)",,
12,Sketch,"Centretown Road
Network Design",Infrastructure Design,PUB,45.41375959,-75.69494243,,,,,World Design pg 123-128,,
13,Sketch,"Hurdman Station
Curve Realignment",Infrastructure Design,PUB,45.41235328,-75.66430479,,,,,World Design pg 132-133,,
14,Sketch,The Carling Peanut,Infrastructure Design,PUB,45.38941717,-75.7262144,,,,,World Design pg 134-137,,
15,Sketch,"Lansdowne and Bank
Street Designs","Urban Development &
Infrastructure Design",PUB,45.39715058,-75.6840666,,,,,World Design pg 143-150,,
16,Sketch,5 Towns West-End,Urban Development,PUB,45.005657,-76.14777062,,,,,World Design pg 158,,
17,Sketch,City Centre Massing,Urban Development,PUB,45.40818382,-75.71895142,,,,,World Design pg 159,,
18,Finished Design,"1010 Somerset / 
Plant Bath & 
Recreation Center",Urban Development,PUB,45.40722101,-75.71546095,https://dunrae.com/wp-content/uploads/2024/07/1010somerset001.png,,,,World Design pg 170,,
19,Reference,"Cambridge St North
Woonerf Design",Infrastructure Design,PUB,45.41173515,-75.7070233,,,,,World Design pg 172,,
20,Sketch,"Strandherd Roundabout
& Land Use",Infrastructure Design,PUB,45.27064303,-75.70522976,,,,,World Design pg 180,,
21,Sketch,"Viewmount Intersection
Safety",Infrastructure Design,PUB,45.34388801,-75.7293381,,,,"Viewmount Intersection:
Quick Build Safety
Improvements",World Design pg 182,,17 Oct 2023
22,WIP Design,"5th & Percy Modal
Filter & Photomatch",Infrastructure Design,PUB,45.39940147,-75.69307155,https://dunrae.com/wp-content/uploads/2024/07/percy5th.png,,,,"World Design pg 185
& Render (Drive)",,28 Oct 2023
23,Finished Design,"The Mirrored Streets of
Kent & O'Connor",Street Redesign,PUB,45.41410547,-75.6982268,https://dunrae.com/wp-content/uploads/2024/07/kentst001.png,,,,"Renders & Sketch
World Design pg 198",,
24,Finished Design,"Cooper Street
Woonerf/Traffic Calming",Infrastructure Design,PUB,45.41258647,-75.70528142,https://dunrae.com/wp-content/uploads/2024/07/cooper001.png,,,,"Renders & Sketch
World Design pg 204",,
25,WIP Design,Greenboro P&R,Urban Development,PRI,45.36114903,-75.65837993,,,,,"Renders & Sketch
World Design pg 205-206",,
